"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17204","User can search for a product","","Sun Nov 17 23:29:58 EST 2024","passed","Sun Nov 17 23:30:15 EST 2024","","","",""
"","27987","user can navigate to Connect the Company page","","Sun Nov 17 23:29:30 EST 2024","passed","Sun Nov 17 23:29:58 EST 2024","","","",""
